,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
122,tt0464154,5.4,81327.0,Piranha 3D,2010,88.0,"Comedy,Horror",52.0,"Aug 20, 2010",24000000.0,25003155.0,83660160.0,59660160.0,0.2988657325063686,2.48584,2010.0,True
126,tt0466893,6.5,14708.0,Margaret,2011,150.0,Drama,27.0,"Sep 30, 2011",14000000.0,47185.0,623292.0,-13376708.0,0.07570288083273971,-0.9554791428571429,2011.0,False
130,tt0470752,7.7,424542.0,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",72.0,"Apr 10, 2015",13000000.0,25440971.0,38358392.0,25358392.0,0.663243938901297,1.9506455384615384,2015.0,True
132,tt0471042,6.2,125102.0,Tower Heist,2011,104.0,"Action,Comedy,Crime",5.0,"Nov 4, 2011",85000000.0,78046570.0,150422946.0,65422946.0,0.5188475034919207,0.7696817176470588,2011.0,False
133,tt0472181,5.5,77577.0,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",20.0,"Jul 29, 2011",110000000.0,142614158.0,563749323.0,453749323.0,0.2529744199799243,4.124993845454545,2011.0,True
134,tt0472399,6.6,141254.0,The Mechanic,2011,93.0,"Action,Crime,Thriller",42.0,"Jan 28, 2011",42500000.0,29121498.0,76347393.0,33847393.0,0.3814340851166981,0.7964092470588235,2011.0,False
137,tt0475290,6.3,111422.0,"Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",22.0,"Feb 5, 2016",22000000.0,30080225.0,64160680.0,42160680.0,0.4688264681733423,1.9163945454545455,2016.0,True
139,tt0477080,6.8,173019.0,Unstoppable,2010,98.0,"Action,Thriller",19.0,"Nov 12, 2010",95000000.0,81562942.0,165720921.0,70720921.0,0.4921704604815707,0.7444307473684211,2010.0,False
141,tt0478304,6.8,156266.0,The Tree of Life,2011,139.0,"Drama,Fantasy",24.0,"May 27, 2011",35000000.0,13305665.0,61721826.0,26721826.0,0.21557471420239577,0.7634807428571428,2011.0,False
143,tt0478970,7.3,501213.0,Ant-Man,2015,117.0,"Action,Adventure,Comedy",43.0,"Jul 17, 2015",130000000.0,180202163.0,518858449.0,388858449.0,0.3473050566051397,2.9912188384615384,2015.0,True
146,tt0479997,5.4,85777.0,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",89.0,"Jan 7, 2011",40000000.0,24827228.0,91126600.0,51126600.0,0.2724476497532005,1.278165,2011.0,True
148,tt0480255,6.4,83876.0,The Losers,2010,97.0,"Action,Adventure,Crime",44.0,"Apr 23, 2010",25000000.0,23591432.0,29863840.0,4863840.0,0.789966461111498,0.1945536,2010.0,False
149,tt0480687,5.9,113775.0,Hall Pass,2011,105.0,"Comedy,Romance",57.0,"Feb 25, 2011",68000000.0,45060734.0,87173475.0,19173475.0,0.5169087729954553,0.2819628676470588,2011.0,False
151,tt0481499,7.2,176699.0,The Croods,2013,98.0,"Action,Adventure,Animation",26.0,"Mar 22, 2013",135000000.0,187168425.0,573068425.0,438068425.0,0.32660746402142116,3.2449512962962963,2013.0,True
158,tt0485985,5.9,31815.0,Red Tails,2012,125.0,"Action,Adventure,Drama",61.0,"Jan 20, 2012",58000000.0,49876377.0,50365498.0,-7634502.0,0.9902885701636466,-0.1316293448275862,2012.0,False
162,tt0490215,7.2,85242.0,Silence,2016,161.0,"Adventure,Drama,History",42.0,"Dec 23, 2016",46500000.0,7100177.0,23726626.0,-22773374.0,0.2992493327959905,-0.48974997849462365,2016.0,False
165,tt0491152,5.9,54314.0,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",72.0,"May 6, 2011",35000000.0,39046489.0,65084116.0,30084116.0,0.5999388391477883,0.8595461714285715,2011.0,False
