,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
39,tt1067583,6.9,105812.0,Water for Elephants,2011,120.0,"Drama,Romance",63.0,"Apr 22, 2011",38000000.0,58709717.0,116809717.0,78809717.0,0.5026098727728276,2.0739399210526317,2011.0,True
41,tt1082807,6.1,38378.0,The Belko Experiment,2016,89.0,"Horror,Thriller",21.0,"Mar 17, 2017",5000000.0,10166820.0,11792942.0,6792942.0,0.8621105742740022,1.3585884,2017.0,False
42,tt1086772,6.5,106491.0,Blended,2014,117.0,"Comedy,Romance",90.0,"May 23, 2014",45000000.0,46290741.0,127990741.0,82990741.0,0.3616725759873521,1.8442386888888889,2014.0,False
44,tt1120985,7.4,170089.0,Blue Valentine,2010,112.0,"Drama,Romance",25.0,"Dec 29, 2010",1000000.0,9737892.0,16566240.0,15566240.0,0.5878154608408426,15.56624,2010.0,True
45,tt1126618,6.5,67367.0,Morning Glory,2010,107.0,"Comedy,Drama,Romance",73.0,"Nov 10, 2010",40000000.0,31011732.0,59795070.0,19795070.0,0.518633593037018,0.49487675,2010.0,False
48,tt1164999,7.5,80382.0,Biutiful,2010,148.0,"Drama,Romance",44.0,"Jan 28, 2011",35000000.0,5101237.0,24687524.0,-10312476.0,0.20663218393225663,-0.2946421714285714,2011.0,False
51,tt1182350,6.3,41608.0,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance",27.0,"Sep 22, 2010",15000000.0,3247816.0,34247816.0,19247816.0,0.09483279167348949,1.2831877333333332,2010.0,False
53,tt1183923,7.0,22210.0,Welcome to the Rileys,2010,110.0,Drama,12.0,"Oct 29, 2010",10000000.0,152857.0,355919.0,-9644081.0,0.42947131229296553,-0.9644081,2010.0,False
56,tt1195478,6.2,88469.0,The Five-Year Engagement,2012,124.0,"Comedy,Romance",37.0,"Apr 27, 2012",30000000.0,28700285.0,61623819.0,31623819.0,0.46573363134147855,1.0541273,2012.0,False
61,tt1204975,6.6,121409.0,Last Vegas,2013,105.0,"Comedy,Drama",46.0,"Jan 28, 2013",28000000.0,63914167.0,112914167.0,84914167.0,0.5660420538726553,3.0326488214285714,2013.0,True
63,tt1212436,5.4,46128.0,The Back-up Plan,2010,104.0,"Comedy,Romance",75.0,"Apr 23, 2010",35000000.0,37490007.0,75281179.0,40281179.0,0.49799973244308515,1.1508908285714285,2010.0,False
64,tt1216492,6.5,86125.0,Leap Year,2010,100.0,"Comedy,Romance",40.0,"Jan 8, 2010",19000000.0,25918920.0,32618920.0,13618920.0,0.7945977365283706,0.7167852631578947,2010.0,False
65,tt1229340,6.3,156116.0,Anchorman 2: The Legend Continues,2013,119.0,Comedy,92.0,"Dec 18, 2013",50000000.0,127352707.0,172185754.0,122185754.0,0.7396239470542958,2.44371508,2013.0,True
68,tt1232200,5.6,83009.0,That's My Boy,2012,116.0,Comedy,71.0,"Jun 15, 2012",57500000.0,36931089.0,58085235.0,585235.0,0.6358085492810694,0.010178,2012.0,False
71,tt1242432,6.3,68592.0,I Spit on Your Grave,2010,108.0,"Horror,Thriller",37.0,"Oct 8, 2010",1750000.0,93051.0,1278471.0,-471529.0,0.07278303536020762,-0.2694451428571429,2010.0,False
72,tt1243974,5.4,54646.0,Aloha,2015,105.0,"Comedy,Drama,Romance",3.0,"May 29, 2015",37000000.0,21052030.0,25387091.0,-11612909.0,0.8292415227880973,-0.3138624054054054,2015.0,False
73,tt1244659,6.5,15673.0,Extraordinary Measures,2010,106.0,Drama,33.0,"Jan 22, 2010",31000000.0,12482741.0,15826984.0,-15173016.0,0.7886999190749167,-0.48945212903225804,2010.0,False
74,tt1259521,7.0,338445.0,The Cabin in the Woods,2011,95.0,Horror,11.0,"Apr 13, 2012",30000000.0,42073277.0,70689968.0,40689968.0,0.5951803090362129,1.3563322666666666,2012.0,False
