,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
1582,tt1288558,6.5,146399.0,Evil Dead,2013,91.0,"Fantasy,Horror,Thriller",77.0,"Apr 5, 2013",17000000.0,54239856.0,97778356.0,80778356.0,0.5547225195727365,4.751668,2013.0,True
1649,tt1298649,5.7,115757.0,The Watch,2012,102.0,"Action,Comedy,Horror",27.0,"Jul 27, 2012",55000000.0,34353000.0,67130045.0,12130045.0,0.5117380749558562,0.22054627272727273,2012.0,False
1744,tt1314655,6.2,122080.0,Devil,2010,80.0,"Horror,Mystery,Thriller",71.0,"Sep 17, 2010",10000000.0,33679655.0,63354114.0,53354114.0,0.5316095968132393,5.3354114,2010.0,True
1779,tt1320244,5.6,45815.0,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",15.0,"Aug 27, 2010",1800000.0,41034350.0,70165900.0,68365900.0,0.5848189790197232,37.98105555555556,2010.0,True
1784,tt1320291,5.8,15194.0,The Reef,2010,94.0,"Adventure,Drama,Horror",33.0,"Dec 31, 2010",10000000.0,0.0,15037867.0,5037867.0,0.0,0.5037867,2010.0,False
2148,tt1374989,5.8,46187.0,Pride and Prejudice and Zombies,2016,108.0,"Action,Comedy,Horror",74.0,"Feb 5, 2016",28000000.0,10907291.0,16638300.0,-11361700.0,0.6555532115660855,-0.405775,2016.0,False
2303,tt1396484,7.4,359123.0,It,2017,135.0,"Horror,Thriller",24.0,"Sep 8, 2017",35000000.0,327481748.0,697457969.0,662457969.0,0.4695361764516594,18.927370542857144,2017.0,True
2465,tt1418377,5.1,74910.0,"I, Frankenstein",2014,92.0,"Action,Fantasy,Horror",14.0,"Jan 24, 2014",65000000.0,19075290.0,74575290.0,9575290.0,0.25578566305273504,0.14731215384615384,2014.0,False
2536,tt1428538,6.1,183387.0,Hansel & Gretel: Witch Hunters,2013,88.0,"Action,Fantasy,Horror",27.0,"Jan 25, 2013",50000000.0,55703475.0,214949716.0,164949716.0,0.259146539184076,3.29899432,2013.0,True
2584,tt1433822,4.1,18112.0,The Apparition,2012,83.0,"Horror,Thriller",4.0,"Aug 24, 2012",17000000.0,4936819.0,10637281.0,-6362719.0,0.46410534797379144,-0.3742775882352941,2012.0,False
2622,tt1438176,6.4,94555.0,Fright Night,2011,106.0,"Comedy,Horror",58.0,"Aug 19, 2011",30000000.0,18298649.0,40520649.0,10520649.0,0.45158825072125575,0.3506883,2011.0,False
2661,tt1441395,6.3,113196.0,Under the Skin,2013,108.0,"Drama,Horror,Sci-Fi",42.0,"Apr 4, 2014",13300000.0,2614251.0,7229933.0,-6070067.0,0.361587168235169,-0.45639601503759397,2014.0,False
2813,tt1457767,7.5,397233.0,The Conjuring,2013,112.0,"Horror,Mystery,Thriller",93.0,"Jul 19, 2013",20000000.0,137400141.0,318000141.0,298000141.0,0.4320757235135943,14.90000705,2013.0,True
2874,tt1464580,6.5,38749.0,Stake Land,2010,98.0,"Drama,Horror,Sci-Fi",47.0,"Apr 22, 2011",4000000.0,33245.0,679482.0,-3320518.0,0.048926976726388634,-0.8301295,2011.0,False
3086,tt1486185,5.5,102369.0,Red Riding Hood,2011,100.0,"Fantasy,Horror,Mystery",55.0,"Mar 11, 2011",42000000.0,37662162.0,91678442.0,49678442.0,0.41080717754780344,1.1828200476190476,2011.0,True
3222,tt1502407,6.6,88395.0,Halloween,2018,106.0,"Horror,Thriller",36.0,"Oct 19, 2018",10000000.0,159342015.0,254900667.0,244900667.0,0.625114154762098,24.4900667,2018.0,True
3453,tt1519461,4.2,11537.0,Area 51,2015,91.0,"Horror,Sci-Fi,Thriller",81.0,"May 15, 2015",5000000.0,7556.0,7556.0,-4992444.0,1.0,-0.9984888,2015.0,False
3537,tt1524575,5.0,14822.0,The Vatican Tapes,2015,91.0,"Horror,Thriller",3.0,"Jul 24, 2015",13000000.0,1784763.0,14929184.0,1929184.0,0.11954859689585177,0.14839876923076922,2015.0,False
3541,tt1525366,6.3,15727.0,Grabbers,2012,94.0,"Comedy,Horror,Sci-Fi",38.0,"Jul 19, 2013",5300000.0,0.0,440821.0,-4859179.0,0.0,-0.9168262264150944,2013.0,False
3693,tt1534085,6.0,10765.0,Beyond the Black Rainbow,2010,110.0,"Horror,Sci-Fi,Thriller",100.0,"May 18, 2012",1100000.0,56491.0,56491.0,-1043509.0,1.0,-0.9486445454545455,2012.0,False
3722,tt1535616,5.8,33603.0,The Divide,2011,112.0,"Drama,Horror,Sci-Fi",53.0,"Jan 13, 2012",3000000.0,18000.0,156362.0,-2843638.0,0.11511748378762103,-0.9478793333333333,2012.0,False
